Date,Open,High,Low,Close,Adj Close,Volume
08/07/2016,5.47,5.48,5.45,5.45,5.45,108801
11/07/2016,5.47,5.47,5.41,5.41,5.41,260654
12/07/2016,5.42,5.44,5.42,5.43,5.43,212727
13/07/2016,5.45,5.47,5.45,5.45,5.45,229736
14/07/2016,5.45,5.47,5.45,5.47,5.47,103920
15/07/2016,5.48,5.52,5.48,5.52,5.52,477247
18/07/2016,5.52,5.55,5.52,5.52,5.52,203534
19/07/2016,5.52,5.53,5.51,5.53,5.53,128374
20/07/2016,5.53,5.55,5.52,5.54,5.54,736048
21/07/2016,5.53,5.55,5.53,5.53,5.53,340260
22/07/2016,5.53,5.56,5.53,5.56,5.56,152693
25/07/2016,5.56,5.59,5.56,5.59,5.59,230150
26/07/2016,5.57,5.64,5.57,5.64,5.64,350980
27/07/2016,5.64,5.66,5.63,5.65,5.65,311042
28/07/2016,5.67,5.67,5.65,5.66,5.66,191120
29/07/2016,5.66,5.69,5.66,5.69,5.69,662459
01/08/2016,5.7,5.79,5.7,5.79,5.79,685417
02/08/2016,5.8,5.92,5.8,5.91,5.91,1707804
03/08/2016,5.91,5.93,5.9,5.93,5.93,757775
04/08/2016,5.92,5.95,5.92,5.94,5.94,613229
05/08/2016,5.93,5.94,5.92,5.92,5.92,337625
08/08/2016,5.9,5.91,5.88,5.88,5.88,377065
09/08/2016,5.85,5.88,5.85,5.85,5.85,534584
10/08/2016,5.86,5.86,5.77,5.77,5.77,236966
11/08/2016,5.74,5.75,5.7,5.75,5.75,316517
12/08/2016,5.73,5.84,5.73,5.84,5.84,140760
15/08/2016,5.85,5.85,5.79,5.84,5.84,309480
16/08/2016,5.84,5.85,5.83,5.83,5.83,427494
17/08/2016,5.84,5.85,5.83,5.84,5.84,516530
18/08/2016,5.84,5.9,5.84,5.9,5.9,590830
19/08/2016,5.9,5.93,5.89,5.91,5.91,750691
22/08/2016,5.92,5.94,5.92,5.92,5.92,441342
23/08/2016,5.92,5.92,5.9,5.9,5.9,271137
24/08/2016,5.91,5.91,5.9,5.9,5.9,230652
25/08/2016,5.9,5.94,5.9,5.94,5.94,184052
26/08/2016,5.92,5.93,5.92,5.93,5.93,179321
29/08/2016,5.9,5.92,5.89,5.89,5.89,148928
30/08/2016,5.89,5.94,5.89,5.92,5.92,693971
31/08/2016,5.86,5.88,5.83,5.83,5.83,53822
01/09/2016,5.82,5.82,5.74,5.74,5.74,59817
02/09/2016,5.79,5.82,5.77,5.81,5.81,172601
05/09/2016,5.77,5.8,5.77,5.8,5.8,166056
06/09/2016,5.81,5.83,5.81,5.82,5.82,68636
07/09/2016,5.83,5.84,5.82,5.82,5.82,359870
08/09/2016,5.83,5.85,5.82,5.83,5.83,49290
09/09/2016,5.85,5.87,5.83,5.83,5.83,185993
12/09/2016,5.85,5.85,5.79,5.79,5.79,139790
13/09/2016,5.79,5.82,5.79,5.82,5.82,184319
14/09/2016,5.8,5.82,5.8,5.82,5.82,172223
15/09/2016,5.83,5.85,5.83,5.85,5.85,127972
16/09/2016,5.85,5.88,5.85,5.85,5.85,291330
19/09/2016,5.86,5.86,5.84,5.85,5.85,160929
20/09/2016,5.85,5.87,5.84,5.87,5.87,230177
21/09/2016,5.87,5.92,5.87,5.92,5.92,567081
22/09/2016,5.92,5.94,5.9,5.9,5.9,482139
23/09/2016,5.9,5.93,5.9,5.93,5.93,371609
26/09/2016,5.93,5.95,5.92,5.92,5.92,462502
27/09/2016,5.92,5.95,5.9,5.95,5.95,526053
28/09/2016,5.94,5.96,5.91,5.95,5.95,707721
29/09/2016,5.95,5.95,5.94,5.94,5.94,109916
30/09/2016,5.94,5.94,5.93,5.94,5.94,187683
03/10/2016,5.94,5.95,5.93,5.95,5.95,247844
04/10/2016,5.94,5.95,5.94,5.95,5.95,96863
05/10/2016,5.95,5.95,5.94,5.94,5.94,731431
06/10/2016,5.95,5.96,5.94,5.95,5.95,1019185
07/10/2016,5.94,5.95,5.93,5.94,5.94,189998
10/10/2016,5.94,5.96,5.94,5.96,5.96,478099
11/10/2016,5.96,5.97,5.95,5.97,5.97,461945
12/10/2016,5.95,5.95,5.92,5.92,5.92,211930
13/10/2016,5.92,5.94,5.92,5.94,5.94,110020
14/10/2016,5.94,5.95,5.93,5.95,5.95,169542
17/10/2016,5.94,5.95,5.94,5.94,5.94,307579
18/10/2016,5.93,5.94,5.9,5.9,5.9,338468
19/10/2016,5.92,5.94,5.91,5.91,5.91,147564
20/10/2016,5.9,5.93,5.89,5.92,5.92,564995
21/10/2016,5.92,5.94,5.9,5.9,5.9,312208
25/10/2016,5.9,5.92,5.9,5.92,5.92,502534
26/10/2016,5.93,5.93,5.91,5.91,5.91,787162
27/10/2016,5.92,5.92,5.89,5.9,5.9,658574
28/10/2016,5.92,5.92,5.89,5.9,5.9,390562
31/10/2016,5.9,5.9,5.89,5.9,5.9,370352
01/11/2016,5.9,5.9,5.88,5.88,5.88,399708
02/11/2016,5.89,5.9,5.87,5.89,5.89,650566
